Gene	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
DEFB133	0	0	0	0	0	0	0	0
DEFB134	0.639111241	0	1.664435986	0	1.530224953	0	0	1.337306874
DEFB135	0	0	0	0	0	0.890946344	0	0
DEFB136	0	0	0.832217993	1.784772125	0	0	0	0
DEFB4A	0	0	0	0	0	0	0	0
DEFB4B	0	0	0	0	0	0	0	0
DEFT1P	0	0	0	0	0	0	0	0
DEFT1P2	0	0	0	0	0	0	0	0
DEGS1	3570.075393	3574.728248	3332.200843	3229.54516	3337.420624	3386.487055	3465.746287	3241.631863
DEGS2	3.195556206	7.485222176	8.322179928	8.923860626	4.59067486	8.018517099	5.19446386	4.011920622
DEK	14315.45269	14281.80391	12551.51177	12081.12251	13516.47701	13695.6272	13690.52895	12814.07447
DEM1	511.9281041	504.7178382	516.8073736	491.7047205	512.6253594	438.3456014	424.9071437	446.6604959
DENND1A	812.9494987	844.7607884	862.1778406	903.9870814	844.6841743	909.6562175	919.4201032	918.7298224
DENND1B	652.5325772	636.243885	709.8819479	665.7200027	801.8378756	746.6130365	778.1306862	728.8322463
DENND1C	10.22577986	8.55453963	12.48326989	29.44874006	15.30224953	31.18312205	24.93342653	21.39690998
DENND2A	38.98578571	60.95109486	145.6381487	165.9838076	177.5060946	68.60286851	57.13910246	60.17880933
DENND2C	396.8880807	394.5781404	533.4517334	504.1981253	557.0018831	437.454655	467.5017474	498.815464
DENND2D	0.639111241	0	0.832217993	0	0	0	2.077785544	0
DENND3	462.0774273	483.3314891	498.4985777	506.8752835	442.2350116	376.8703036	374.0013979	407.8785966
DENND4A	1503.189639	1477.796721	1525.455581	1422.463384	1669.475424	1477.189039	1472.111058	1404.172218
DENND4B	2535.993405	2553.530079	2206.209899	2400.518508	2050.501438	2361.007812	2442.436907	2532.859219
DENND4C	1027.051764	1028.68339	1001.990463	913.8033281	1080.338817	1053.098579	1096.031874	1004.317462
DENND5A	3231.346435	3104.228568	2963.528273	2962.721728	2774.297841	2702.240262	2690.732279	2744.153705
DENND5B	1171.490905	1220.091215	1184.246204	1136.007458	1247.133337	1241.088258	1349.521711	1212.937335
DENR	3566.879837	3579.005518	2846.185536	2709.284086	3026.784958	3366.886235	3281.862267	3198.838043
DEPDC1	3858.314563	3861.305325	3261.462314	3150.122801	4110.184225	3580.713358	3616.385739	3442.227894
DEPDC1B	1025.773542	1024.406121	1027.789221	1105.666332	1141.547815	1017.460725	1055.515056	937.4521187
DEPDC4	65.82845784	64.15904722	111.517211	87.45383413	128.5388961	92.65841981	74.80027958	84.25033306
DEPDC5	643.5850198	566.7382505	512.6462836	505.9828975	478.9604104	659.3002948	642.0357331	660.6295957
DEPDC7	335.5334016	326.1418234	436.9144462	414.9595191	422.3420872	337.6686645	350.1068642	310.2551948
DEPTOR	113.1226897	134.7339992	269.6386297	271.285363	289.2125162	201.3538738	182.8451279	219.3183273
DERA	913.2899636	868.2857724	1016.970387	1026.243972	933.4372216	982.7138177	1029.542737	1036.412827
DERL1	2523.850291	2568.500524	2380.975678	2310.387516	2338.183729	2833.209375	2784.232629	2673.276441
DERL2	943.9673031	851.1766932	734.8484877	723.7250967	749.8102272	772.4504805	921.4978888	794.3602831
DERL3	260.1182751	286.5770776	475.1964739	550.6022006	388.6771382	392.9073378	435.2960715	418.5770516
DES	14.69955855	14.97044435	37.44980968	31.23351219	38.25562384	24.0555513	30.12789039	30.7580581
DET1	528.5449964	519.6882825	376.1625328	385.510779	336.6494898	392.9073378	345.9512931	401.1920622
DEXI	457.6036486	461.94514	356.1893009	412.2823609	345.8308395	372.4155719	385.4292184	331.6521047
DFFA	2297.604912	2374.954065	2241.995273	2158.681885	2136.194035	2302.205354	2318.808667	2403.140453
DFFB	642.3067973	629.8279802	582.552595	597.0062758	485.0813103	653.9546167	640.9968403	706.0980295
DFNA5	178.3120363	230.97257	273.7997196	323.0437546	257.0777922	196.8991421	234.7897665	199.2587242
DFNB31	448.01698	466.2224098	505.1563217	617.5311553	506.5044596	465.0739917	464.3850691	514.8631465
DFNB59	83.72357259	96.23857083	89.87954323	86.56144807	108.6459717	94.44031249	100.7725989	96.28609493
DGAT1	615.4641252	679.0165831	605.0224808	685.352496	583.0157073	676.2282753	633.7245909	722.1457119
DGAT2	115.0400234	97.30788829	102.3628131	116.9025742	85.69259739	92.65841981	112.2004194	101.6353224
DGAT2L6	0.639111241	0	0.832217993	0	0	0	1.038892772	0
DGCR10	1.917333723	4.277269815	0.832217993	1.784772125	0	0	0	5.349227496
DGCR11	97.14490865	90.89198357	103.1950311	75.85281532	65.799673	96.22220518	85.1892073	85.58763993
DGCR14	1181.716685	1043.653835	907.9498302	903.0946953	772.7636015	1071.808452	1004.609311	1025.714372
DGCR2	2251.588902	2258.398462	1680.248128	1632.174108	1464.42528	1876.333001	1784.817782	1818.737349
DGCR5	53.04623301	63.08972977	91.54397921	107.0863275	94.87394712	76.62138561	61.29467355	57.50419558
DGCR6	268.4267213	289.78503	281.2896816	288.2406982	201.9896939	241.4464593	227.5175171	271.4732954
DGCR6L	775.8810467	730.3438209	559.2504912	580.0509407	494.26266	660.1912411	570.3521318	572.3673421
DGCR8	2708.55344	2642.283428	2408.438871	2512.066766	2319.821029	2731.641492	2707.354564	2829.741345
DGCR9	22.36889344	28.87157125	22.46988581	30.34112613	38.25562384	14.25514151	20.77785544	22.73421686
DGKA	55.60267798	67.36699958	109.0205571	107.0863275	102.5250719	83.74895636	73.76138681	93.61148118
DGKB	3.195556206	3.207952361	4.161089964	2.677158188	1.530224953	8.018517099	6.233356632	6.68653437
DGKD	1811.241257	1701.284069	1577.053096	1572.384242	1488.90888	1591.230171	1621.711617	1632.851693
DGKE	999.5699811	1046.861787	1404.783972	1333.224777	1502.680904	980.9319251	1010.842667	1029.726293
DGKG	0.639111241	2.138634907	3.328871971	7.1390885	4.59067486	1.781892689	1.038892772	5.349227496
DGKH	191.7333723	155.0510308	223.8666401	222.2041296	231.063968	130.0781663	161.0283797	185.8856555
DGKI	3.195556206	2.138634907	2.496653979	0.892386063	0	6.23662441	4.155571088	4.011920622
DGKK	7.669334893	5.346587269	9.154397921	13.38579094	10.71157467	7.127570754	8.311142176	9.361148118
