entrezgene_id,mgi_symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p
269132,Colgalt2,1,4.861005328405915,3.257753091999874,31.89396722222985,2.856532757187972e-11,1.2129224037585424e-7,16.05297611407812,10.544160791318324
353499,Tmc4,7,-3.51738713368384,7.132894783760669,-30.393263180170674,4.572231152808988e-11,1.2129224037585424e-7,16.03070161210489,10.339871821616264
53624,Cldn7,11,-5.34312225069881,6.296762289683861,-30.788644616832347,4.030517289780241e-11,1.2129224037585424e-7,15.900079983045948,10.394639211506549
22249,Unc13b,4,-4.445240042941173,5.664496915162083,-30.68343119594962,4.1674179305907946e-11,1.2129224037585424e-7,15.878526951116449,10.380132944023654
170643,Kirrel,3,4.917725827815819,5.2967700858017155,30.032138403173853,5.137648786576808e-11,1.2129224037585424e-7,15.796249133267242,10.289235587742906
66871,Cpne8,15,4.506538411621982,4.313707229378783,30.032115167675812,5.13768755563096e-11,1.2129224037585424e-7,15.760093626855081,10.289232310538983
16668,Krt18,15,-5.08326490304961,9.958477075680713,-27.83057427516845,1.0789328459095347e-10,1.3750654163040675e-7,15.19018144632502,9.967005585491815
12709,Ckb,12,4.901979485842439,2.656460990141744,28.923731579586363,7.413009969801467e-11,1.3750654163040675e-7,15.140370686225097,10.130005415792619
16324,Inhbb,1,-4.564078966369146,6.462247341839429,-27.6238599265357,1.1601652387308978e-10,1.3750654163040675e-7,15.090611792945282,9.935480151153818
20528,Slc2a4,11,5.151346143585436,2.2896685516090196,28.59088593849623,8.298084809689627e-11,1.3750654163040675e-7,14.916135347218535,10.08102213082399
320405,Cadps2,6,-3.8941695847035307,5.376401560595671,-27.17847360002141,1.3590480641197985e-10,1.3750654163040675e-7,14.874359607451044,9.866765183728958
18826,Lcp1,14,-4.343347430818031,5.46183092273906,-27.20291791583695,1.3472093595777408e-10,1.3750654163040675e-7,14.843557683540402,9.87056490862438
12740,Cldn4,5,-5.537255430051122,9.571369372548084,-26.673695495226674,1.6310003353166188e-10,1.4721551914369886e-7,14.816344668963087,9.78754594967331
20743,Sptbn2,19,-5.0494864045938925,5.4264242749752665,-27.41717069815024,1.2481669126506959e-10,1.3750654163040675e-7,14.799531590487938,9.903727334208014
12725,Clcn3,8,-3.6080118431401336,6.023946335268183,-26.455280674102905,1.766794087852369e-10,1.4721551914369886e-7,14.72675237663327,9.7528140626723
18830,Pltp,2,5.451880480886723,3.731338969946623,26.57550968261962,1.6905691054835819e-10,1.4721551914369886e-7,14.603563955829012,9.77196707185664
54366,Ctnnal1,4,3.8581615662514395,4.681114101314707,25.293967293939282,2.7332482658712393e-10,1.747717248913873e-7,14.302285569401079,9.563320918764342
330812,Rnf150,8,5.245755943547755,2.798822583918675,25.932625741481704,2.1450879043129236e-10,1.6880650091440314e-7,14.263123812571394,9.66855490600802
19414,Rasa3,8,4.66062881123521,3.3304105242167767,25.451198059774477,2.573556819576425e-10,1.747717248913873e-7,14.232371841733427,9.589466238855001
245827,Fat2,11,4.999489734680657,4.312704020261432,25.196401940620618,2.8378042163797445e-10,1.747717248913873e-7,14.215492292469257,9.547017570358086
20970,Sdc3,4,4.910533840803675,4.5186614163156005,25.019846305666892,3.038378025793954e-10,1.7932760306404736e-7,14.163038290904757,9.517358193507183
16691,Krt8,15,-3.5792197656900777,10.791900072735721,-24.86189505062006,3.2310874684567443e-10,1.8307341596275913e-7,14.130477995217365,9.490651285079252
226866,Sbspon,1,7.072350518015687,1.469591868480056,27.617427732852235,1.1627985927601526e-10,1.3750654163040675e-7,14.111816426337846,9.934495502492313
101351,Eogt,6,3.1725261022859153,5.180589890768944,24.62039871219881,3.5522374147731175e-10,1.842683797743032e-7,14.079091877747027,9.449498015731221
12739,Cldn3,5,-5.128845855797412,6.621354267428932,-24.502554641658634,3.7215702214545825e-10,1.842683797743032e-7,13.9930168436763,9.429273781991869
54648,Ccdc120,X,-2.805922801140443,6.095958322714106,-24.326938261973126,3.9906265066236356e-10,1.842683797743032e-7,13.979622527009697,9.39895891709265
108153,Adamts7,9,4.569938571736034,4.154382693042826,24.12205558541782,4.331889250175539e-10,1.842683797743032e-7,13.8304294340958,9.36332265515209
17183,Matn4,2,5.083450633811918,2.49162043123181,24.605204484782902,3.5735866196915295e-10,1.842683797743032e-7,13.781925846046363,9.446895686628958
224912,Crb3,17,-3.8453866639743546,4.461541529418216,-24.070372728466815,4.4229614629906875e-10,1.842683797743032e-7,13.671663960726196,9.3542868445968
208076,Pknox2,9,4.2943494584998945,2.163788368527021,24.23271256020619,4.143753695503569e-10,1.842683797743032e-7,13.642899073903287,9.382606066936258
67729,Mansc1,6,-3.935324541991726,4.629120870521042,-23.83594939384425,4.86334801071438e-10,1.9448134502776647e-7,13.60936010917326,9.313064652141637
12521,Cd82,2,-4.36138963157444,7.070962575365705,-23.39784614411632,5.821534188591148e-10,2.068150066300374e-7,13.6069534704458,9.234962547680748
14221,Fjx1,2,4.550359350689536,1.8966625735444524,24.310953171943495,4.0161595700908923e-10,1.842683797743032e-7,13.587519272258241,9.396189040127675
56693,Crtap,9,2.9682064334467517,4.003129656030315,23.34538182540063,5.949564638597899e-10,2.068150066300374e-7,13.561901226369276,9.225514812754176
226778,Mark1,1,4.939100164726918,2.7033257440038687,23.796200804400545,4.942695673137729e-10,1.9448134502776647e-7,13.552833123679568,9.306036128674513
70737,Cgn,3,-5.645588139781111,5.315548196274659,-23.62481623575476,5.301510911502304e-10,2.0296189746332468e-7,13.450220525726914,9.275600340396444
21804,Tgfb1i1,7,5.701583020337568,3.7492547737485378,23.27598313290307,6.123702149904592e-10,2.068150066300374e-7,13.442635165046568,9.21298594106304
23964,Tenm2,11,7.762260729827855,3.214265462734693,23.237836189451748,6.221803705814126e-10,2.068150066300374e-7,13.237545565357424,9.206083694742347
18131,Notch3,17,-3.6942534362959663,6.834387881630232,-22.4624701067564,8.642429221483659e-10,2.400392351417961e-7,13.224936800640393,9.0633641684931
233651,Dchs1,7,5.844780015552396,2.5397807825506615,23.017003498399745,6.824801533139896e-10,2.1015937764549264e-7,13.184198345714101,9.165909973490932
78896,Ecrg4,1,6.128969373682844,3.1080252855661734,22.829424311089646,7.387679246637546e-10,2.2265207772046988e-7,13.184062386944603,9.131491968732522
68519,Eml1,12,5.296209369044985,2.1825717212629914,23.086095978181174,6.629501270459362e-10,2.0868196776901526e-7,13.183757105285995,9.178519141826655
68810,Nexn,3,6.055908130013452,1.6344202162864891,23.530092694839816,5.512051430687242e-10,2.0546896977811786e-7,13.14837590868162,9.258686738858147
13710,Elf3,1,-3.1411229486916437,7.575741073025976,-22.24150378754655,9.509987134147209e-10,2.4629080137041874e-7,13.132914428123179,9.021820070609659
94179,Krt23,11,5.408762125921663,2.900601504027325,22.649066862198865,7.97736673112246e-10,2.3518131126534335e-7,13.129626776427381,9.098140442342421
77220,Tmem200a,10,7.464786394223858,0.6326830235321966,25.324892518131474,2.7009974793557174e-10,1.747717248913873e-7,13.112462655609066,9.5684758211077785
22004,Tpm2,4,7.180182867951386,5.5134093861342555,22.249437117563073,9.477231727691457e-10,2.4629080137041874e-7,13.067412771533903,9.02331850031564
14119,Fbn2,18,5.591469806435358,3.8420094503523567,22.28277787553973,9.340923150470816e-10,2.4629080137041874e-7,13.061938648882112,9.029610200927975
270190,Ephb1,9,7.394173349700195,0.4791016289159607,25.276804376495175,2.7513294683435076e-10,1.747717248913873e-7,13.031407026751292,9.560457400262443
22240,Dpysl3,18,6.073967773377251,3.4406933964529838,22.22867975192479,9.563199040774353e-10,2.4629080137041874e-7,12.990476071894792,9.019396805071798
105853,Mal2,15,-5.261685058268993,4.750658149145601,-22.464261810790905,8.635760424751664e-10,2.400392351417961e-7,12.962665937332819,9.06369941446791
114679,Selenom,11,4.51502793486865,2.852147411212547,22.056958294721085,1.03081959957463e-9,2.474840614910955e-7,12.932977614811946,8.986817332548192
11302,Aatk,11,5.846033442696197,1.2547081561764977,23.16118774165145,6.424186580813022e-10,2.068150066300374e-7,12.925034152953373,9.192181854117793
70178,Abhd17c,7,-3.931927604515936,5.348255204226076,-21.7295860997844,1.1911746132416943e-9,2.7349043971263026e-7,12.8674332768312,8.924024571003473
21414,Tcf7,11,4.276403996877349,4.203564089421486,21.647280897298824,1.2356786545434758e-9,2.7349043971263026e-7,12.846610952985255,8.908094455382713
100129,Gpr153,4,4.742235835773229,3.431659062335267,21.713411264459292,1.1997795822371076e-9,2.7349043971263026e-7,12.831498394331641,8.920898533128026
109594,Lmo1,7,7.44714448876238,1.4660567226602532,23.175222456779178,6.3865942380528e-10,2.068150066300374e-7,12.821787422864361,9.194730675163832
67102,D16Ertd472e,16,3.6105594949563122,4.468292881447956,21.504239236342187,1.3174384589605563e-9,2.74313640832751e-7,12.797969335991894,8.88026966268701
14421,B4galnt1,10,-2.717957772923181,6.2041369488396425,-21.440794139291675,1.3555915890075941e-9,2.74313640832751e-7,12.780065404410543,8.867871134478301
11891,Rab27a,9,4.027887910985906,3.6115875238916573,21.466449436874452,1.340019222156498e-9,2.74313640832751e-7,12.754660521930537,8.872888971772042
268935,Scube3,17,6.343877323628142,2.0201091877973245,22.164115926386614,9.836121147026423e-10,2.4629080137041874e-7,12.734164940305883,9.007176130892953
230678,Tmem125,4,-3.9196963815835684,3.6368402259638812,-21.923763569205526,1.093003409662762e-9,2.580398882978837e-7,12.696796278996134,8.9613784832512
83965,Enpp5,17,-2.318133258032422,5.38898976352263,-21.20844110736579,1.5060477679782736e-9,2.922351593618116e-7,12.674084423332657,8.822161253208108
18260,Ocln,13,-5.589350039008976,5.105166004717613,-21.491556559089496,1.324969824582684e-9,2.74313640832751e-7,12.613547725349477,8.877794012418839
246228,Vwa1,4,5.864661059384431,4.230089863188118,21.16418576913,1.5367366735706852e-9,2.9416047271795614e-7,12.60686853214219,8.813400544349815
16950,Loxl3,6,4.983257234894183,2.728445385217715,21.23256836201023,1.4896009927866079e-9,2.922351593618116e-7,12.566134176775112,8.826930046914827
14042,Ext1,15,2.579815648520559,6.521123151771911,20.933557052869865,1.7082089817208312e-9,2.9872568180340215e-7,12.549763970640166,8.767458998953689
218518,Marveld2,13,-5.002431805960103,4.931333525049419,-21.24988749258295,1.4779168688476085e-9,2.922351593618116e-7,12.54965186992034,8.830349993827612
212980,Slc45a3,1,-3.721188445237608,5.6595595432477825,-20.944238785127297,1.699818210117881e-9,2.9872568180340215e-7,12.545062519950676,8.769597522483053
80986,Ckap2,8,2.9899338715598764,3.297506959910961,20.966592287951407,1.6824052179646723e-9,2.9872568180340215e-7,12.538620208561793,8.77406939335921
29877,Hdgfl3,7,5.648987924481071,1.89181175539551,21.55912413851704,1.2853843416966703e-9,2.74313640832751e-7,12.53684364204176,8.890966994884739
17919,Myo5b,18,-3.8597275588025,4.690924647150445,-21.009976712795968,1.649166469445334e-9,2.9872568180340215e-7,12.509958053835476,8.782735503777849
58250,Chst11,10,6.032949226499445,3.153071747469612,21.053299944551334,1.6166936652257595e-9,2.98003493081017e-7,12.487366358497287,8.791372263399465
94214,Spock2,10,5.7216717473518255,2.9970787536014263,21.048943239750276,1.619927212653605e-9,2.98003493081017e-7,12.486250371401482,8.790504498946914
17313,Mgp,6,3.5800883384070956,4.501692091994805,20.794420467504317,1.821766620533041e-9,3.1090752023916296e-7,12.48151934711047,8.739507259583952
12162,Bmp7,2,6.277828046734759,2.9884054045695,21.079902334378502,1.5971026680054952e-9,2.98003493081017e-7,12.472752429017053,8.796667164816386
74002,Psd2,18,6.424114974854989,0.9782596011623044,22.10702019504037,1.0084621588058092e-9,2.4629080137041874e-7,12.4377314879052,8.996340393465255
14086,Fscn1,5,4.323479300159851,3.844535941604288,20.73261142495863,1.874853873992029e-9,3.1615839434639396e-7,12.435584702609827,8.727032575505309
19280,Ptprs,17,3.5208180398351585,6.885131648999629,20.4730186782151,2.1171538036457645e-9,3.3840373948524773e-7,12.335536002155044,8.674247590894927
22409,Wnt10a,1,8.194613298134227,1.205002891879832,22.11028638400248,1.0070221330140814e-9,2.4629080137041874e-7,12.314650068781644,8.996960984123392
17242,Mdk,2,4.832475502637151,2.895341209450433,20.572993453300988,2.0199853589556603e-9,3.356952950628477e-7,12.302739611349125,8.694651778349321
26557,Homer2,7,-2.787668996021923,4.9455428415939675,-20.37083175294488,2.221810251646617e-9,3.3840373948524773e-7,12.280668796313716,8.653293033685697
72293,Nkd2,13,5.939497521996127,1.9905863333841873,20.887425786118126,1.74497295790717e-9,3.01433438399452e-7,12.273350238933315,8.758211298975688
19731,Rgl1,1,4.326026671080693,2.938086038102139,20.348273108451746,2.245672538765498e-9,3.3840373948524773e-7,12.221494310931254,8.648653571750188
20563,Slit2,5,5.27785806110016,2.77207366358601,20.392457505713875,2.1991962262105727e-9,3.3840373948524773e-7,12.202290991073898,8.6577360184071
12797,Cnn1,9,7.975208080749121,4.3225637005104085,20.365370133202205,2.2275618114043303e-9,3.3840373948524773e-7,12.19853792426079,8.652170236121897
241556,Tspan18,2,6.420710659674076,2.552992604110401,20.553951967257973,2.0381076862269608e-9,3.356952950628477e-7,12.19441564272384,8.6907728731762
