entrezgene_id,mgi_symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val
12759,Clu,14,-5.44287688411244,8.857906908578487,-33.444289799635115,3.990898995617615e-10,2.703870821754879e-6
53624,Cldn7,11,-5.514605346729461,6.296762289683861,-32.94533078169566,4.5036935760101436e-10,2.703870821754879e-6
242505,Rasef,4,-5.921741084525909,5.119584991066934,-31.776247816209604,6.063249392340393e-10,2.703870821754879e-6
67451,Pkp2,16,-5.724822786725987,4.4204952777144655,-30.653702604800646,8.010456286467371e-10,2.703870821754879e-6
228543,Rhov,2,-6.253426612913786,5.4866395940824795,-29.46244085335636,1.1127291301173397e-9,2.703870821754879e-6
70350,Basp1,15,-6.073296880267768,5.248348666246625,-28.648896035512816,1.3805445500670052e-9,2.703870821754879e-6
19253,Ptpn18,1,-5.632845766959562,4.129759737593977,-28.410903761508706,1.4556607409096002e-9,2.703870821754879e-6
218518,Marveld2,13,-5.1398088375064575,4.931333525049419,-28.017563160724194,1.6029938712536672e-9,2.703870821754879e-6
14275,Folr1,7,-6.905772182736996,3.838811186379017,-27.8570045274725,1.7664029873557742e-9,2.703870821754879e-6
12521,Cd82,2,-4.107315928438368,7.070962575365705,-27.32101744335267,1.90883926703486e-9,2.703870821754879e-6
13036,Ctsh,9,-4.659914623852698,5.7456693399609735,-26.394550887697886,2.535283469116275e-9,2.8991811907693696e-6
16324,Inhbb,1,-4.79225474339564,6.462247341839429,-26.28960835013427,2.624475323561458e-9,2.8991811907693696e-6
70737,Cgn,3,-5.446008300254215,5.315548196274659,-26.301246625561937,2.6607381207202125e-9,2.8991811907693696e-6
11815,Apod,16,-5.953632749680887,4.438634691334401,-25.556848561967563,3.3851061048896624e-9,3.3422622978672517e-6
50722,Dkkl1,7,-6.342530775015401,4.482976033083308,-25.314032776803625,3.692168134163791e-9,3.3422622978672517e-6
215384,Fcgbp,7,-7.060923158304113,10.43585033502975,-25.08266865121248,4.0574050614444595e-9,3.3422622978672517e-6
22249,Unc13b,4,-4.32055462721555,5.664496915162083,-24.77112492532419,4.147637394029006e-9,3.3422622978672517e-6
